match_id,league_id,home_form_pts5,home_goal_diff5,away_form_pts5,away_goal_diff5,home_form_pts10,home_goal_diff10,away_form_pts10,away_goal_diff10,h2h_home_win_rate,home_advantage_baseline,result
381,4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,D
382,4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,D
383,4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,H
1449,7,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,A
1,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,H
384,4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,D
2,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,A
6,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,D
3,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,H
4,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,H
5,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,A
1450,7,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,A
761,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,D
762,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,D
7,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,A
385,4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,D
1451,7,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,A
764,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,D
763,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,D
1452,7,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,H
386,4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,A
1453,7,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,H
8,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,H
1454,7,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,A
1455,7,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,D
1456,7,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,D
9,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,A
766,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,H
765,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33,0.41937321937321936,D
